"4511","Il Traduttore","2015","N/A","01 Sep 2016","N/A","Drama","Massimo Natale","Marta Dudkiewicz (collaborating writer), Marie Giaramidaro, Nikolaus Mutschlechner","Claudia Gerini, Anna Safroncik, Piotr Rogucki, Silvia Delfino","N/A","Italian","Italy, Poland","N/A","N/A","N/A","N/A","N/A","tt3956322","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4512","The Last Treasure Hunt","2016","N/A","21 Jun 2016","99 min","Adventure, Drama, Family","Patrick Biesemans","Kate Murdoch, Casey Nelson","Art LaFleur, Kandis Fay, Sean Mahon, Brad Benedict","A heartfelt story of an estranged brother and sister who must put aside their differences in order to solve an elaborate treasure hunt, left for them in the will of their eccentric father.","English","USA","N/A","http://ia.media-imdb.com/images/M/MV5BMjA5MTIyODI1Nl5BMl5BanBnXkFtZTgwMjE2NDQ0NzE@._V1_SX300.jpg","N/A","7.4","23","tt3163244","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","7","http://www.rottentomatoes.com/m/the_last_treasure_hunt/","N/A","N/A","N/A","N/A","True"
"4513","Soleada","2016","N/A","03 Mar 2016","78 min","Drama","Gabriela Trettel","Gabriela Trettel","Víctor Acosta, Santiago Argüello, Valentina Ayen, Esteban Calvo","N/A","Spanish","Argentina","N/A","N/A","N/A","N/A","N/A","tt5470226","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","http://www.rottentomatoes.com/m/soleada","N/A","N/A","Twins Latin Films","N/A","True"
"4514","Morning Paris","2016","N/A","N/A","N/A","Romance","Quentin Lee","Quentin Lee","Marisa Berenson, Archie Kao, Michelle Chen, Xiao Chen","N/A","Chinese, English, French","N/A","N/A","N/A","N/A","N/A","N/A","tt4521278","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4515","We Are the Flesh","2016","UNRATED","20 Jan 2017","79 min","Drama, Fantasy, Horror","Emiliano Rocha Minter","Emiliano Rocha Minter","Noé Hernández, María Evoli, Diego Gamaliel, Gabino Rodríguez","After wandering a ruined city for years in search of food and shelter, two siblings find their way into one of the last remaining buildings. Inside, they find a man who will make them a dangerous offer to survive the outside world.","Spanish","Mexico, France","1 win & 4 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzOTk0NzA2M15BMl5BanBnXkFtZTgwODg5NTg4MDI@._V1_SX300.jpg","61","4.7","418","tt4682708","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4516","Waiting for You","2016","N/A","N/A","N/A","Drama","Charles Garrad","Charles Garrad, Hugh Stoddart","Colin Morgan, Fanny Ardant, Audrey Bastien, Abdelkrim Bahloul","Paul (Morgan) investigates his late father's increasingly disturbing past and becomes suspicious of the mysterious, melancholic, and possibly dangerous, Madeleine (Ardant).","English, French","UK","N/A","http://ia.media-imdb.com/images/M/MV5BYzc0NDQ2YzgtYWRhYi00OTZkLWE0ZjgtMWM2MWRkZDI0YjI4XkEyXkFqcGdeQXVyMjQwMzE1NzY@._V1_SX300.jpg","N/A","N/A","N/A","tt4727128","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4517","Lighter Fluid","2016","NOT RATED","17 Mar 2016","66 min","Drama","Alex Wilson","Alex Wilson","Braedon Blasic, Brooke Bowers, Calvin Brown, Devon Brown","An experimental look into the lives of teens and young adults in a small town.","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BZjQxMThmZmMtYTE1MS00YTExLWJmODUtMzYzYzc1YmI2ZWY2XkEyXkFqcGdeQXVyMjE3OTk4ODM@._V1_SX300.jpg","N/A","N/A","N/A","tt5569686","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4518","Tombstones of the Blind Dead","2016","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","tt5317942","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4519","Hotel Beautifool","2015","N/A","N/A","130 min","Comedy","Sameer Iqbal Patel","Sameer Iqbal Patel","Rajith Menon, Brijendra Kala, Johnny Lever, Imam Siddique","Hotel Beautiful is everything except what it claims to be. Once a pearl of Goa beach this Gallic structure, is now a joke of Hospitality Industry. Here chaos is on the menu and confusion is...","Hindi","India","N/A","N/A","N/A","N/A","N/A","tt4554354","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4520","Wraith","2016","N/A","N/A","N/A","Horror, Mystery, Thriller","Justin Groetsch","Justin Groetsch","N/A","N/A","English","USA","N/A","N/A","N/A","N/A","N/A","tt3323768","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4521","Timber the Treasure Dog","2016","PG","05 Jan 2016","89 min","Family","Ari Novak","Nick Campagna, Rolfe Kanefsky, Ari Novak","Kix Brooks, Wilford Brimley, J.D. Hoppe, Averie South","A boy rises to the occasion with his best friend (a lovable talking dog) to save his home and family.","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMjk4ODQxOTEzNF5BMl5BanBnXkFtZTgwMDg4OTM2NzE@._V1_SX300.jpg","N/A","5.9","64","tt4030354","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","60","3.5","13","http://www.rottentomatoes.com/m/timber_the_treasure_dog/","05 Jan 2016","N/A","N/A","N/A","True"
"4522","The Naked Poet","2016","N/A","01 Jul 2016","96 min","Romance","Jason Barrett","Jason Barrett, Ben Peters, Luke Snellin","Petra Letang, Michelle Gayle, Mohammed George, Kelle Bryan","Poet Lazarus, finds himself caught in a love triangle with long term lover Louise and new found love interest Simone. A heartfelt romantic comedy with a twist set to a beautiful London backdrop.","English","UK","N/A","N/A","N/A","N/A","N/A","tt5328796","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4523","Space Bandits: Fight for Extant","2016","N/A","N/A","100 min","Sci-Fi","Robby Haynes","Robby Haynes","N/A","During his mission on Europa, an icy moon of Jupiter, dredger captain Skyler Mattherson discovers remnants of ancient artefacts. But when he reports in, the response from his superiors is ...","N/A","UK","N/A","N/A","N/A","N/A","N/A","tt4478034","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4524","Terror Birds","2016","N/A","08 Mar 2016","87 min","Horror, Sci-Fi","Sean Cain","Jake Helgren","Jessica Lee Keller, Lindsey Sporrer, Greg Evigan, Leslie Easterbrook","When Maddy Stern discovers her father has gone missing during a routine birdwatching excursion, she and her college pals trek out into the wilderness to find him, only to end up in a ...","N/A","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMjMyMTAxMzE3OV5BMl5BanBnXkFtZTgwNTYxMTk1NzE@._V1_SX300.jpg","N/A","6.5","6","tt4514660","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","http://www.rottentomatoes.com/m/terror_birds","N/A","N/A","N/A","N/A","True"
"4525","The Jump","2016","N/A","N/A","N/A","Drama","Alex Raiman","Jay Harris Gard, Alex Raiman","Hannah Barefoot","THE JUMP is a psychological thriller in which words are as deadly as bullets, where the line between life and death lies between a hundred foot cliff and the Pacific Ocean. On that line ...","English","USA","N/A","http://ia.media-imdb.com/images/M/MV5BMTUzMTYxODI0MF5BMl5BanBnXkFtZTgwNjYwMDUwODE@._V1_SX300.jpg","N/A","N/A","N/A","tt5285956","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4526","Anburguesas Vicente","2016","N/A","20 Apr 2016","N/A","Comedy","Manuel de la Prada","Manuel de la Prada (screenplay)","Maria Luisa Cerezo Sifas, Carmen Mustarós, Sara Gracia, Marisol Marques","N/A","Spanish","Spain","N/A","N/A","N/A","N/A","N/A","tt5036132","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4527","An Idle Mind Is the Devil's Playground","2016","N/A","07 Apr 2016","61 min","Thriller","Michael Jason Allen","Michael Jason Allen","Amelia Haberman, Ben Lokey, Renee Bryant, Gianna Frangella","It is November of 1960 and retired musician Sid Kottler has been living alone in his over-sized home for the past 13 years. His severe case of anthropophobia prevents him from entertaining ...","English","USA","N/A","http://ia.media-imdb.com/images/M/MV5BOGQzYTFmNGItODRmYi00NmNkLTk4NTItZTkxNjkxZmE4NTQ3XkEyXkFqcGdeQXVyMTkyNjk2NDE@._V1_SX300.jpg","N/A","N/A","N/A","tt4843318","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4528","Accidental Babe","2016","N/A","12 Feb 2016","93 min","Comedy","Durango Savage","N/A","Julie Matibag, Vin Morreale Jr.","N/A","English","USA","N/A","N/A","N/A","N/A","N/A","tt5060966","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4529","Miles","2016","N/A","21 May 2016","90 min","Comedy, Drama, Family","Nathan Adloff","Nathan Adloff, Justin D.M. Palmer","Missi Pyle, Molly Shannon, Stephen Root, Paul Reiser","A kid from middle America, desperate to move to Chicago, joins the volleyball team to get a scholarship - the only catch is that his high school only has a girls team.","English","USA","4 wins.","http://ia.media-imdb.com/images/M/MV5BMTQ1ODU1MzA1OF5BMl5BanBnXkFtZTgwNzUwNjQ5NjE@._V1_SX300.jpg","N/A","7.3","34","tt4066836","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4530","Under the Shadow","2016","PG-13","07 Oct 2016","84 min","Horror","Babak Anvari","Babak Anvari","Narges Rashidi, Avin Manshadi, Bobby Naderi, Ray Haratian","As a mother and daughter struggle to cope with the terrors of the post-revolution, war-torn Tehran of the 1980s, a mysterious evil begins to haunt their home.","Persian","UK, Qatar, Jordan, Iran","11 wins & 9 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjIwMjQwMDU2OV5BMl5BanBnXkFtZTgwNzMwMDg2OTE@._V1_SX300.jpg","84","7.0","4,922","tt4273292","movie","98","certified","8.1","62","61","1","Under the Shadow deftly blends seemingly disparate genres to deliver an effective chiller with timely themes and thought-provoking social subtext.","87","3.9","1614","http://www.rottentomatoes.com/m/under_the_shadow/","N/A","$25,832.00","Wigwam Films","N/A","True"
"4531","Perfect Break","2015","N/A","N/A","N/A","Comedy","Ian Paterson","Simon Rozee","John Altman, Michelle Kernohan, Joe Rainbow, Jimmy White","Following humiliation at the hands of his great rival during the snooker world finals, the once great Bobby Stevens is now scratching a living doing trick shots on the cabaret circuit...","English","UK","N/A","N/A","N/A","N/A","N/A","tt3694104","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4532","Delirium","2016","N/A","30 Oct 2016","86 min","Horror","Johnny Martin","Andy Cheng, Lisa Clemens, Johnny Martin (story)","Ryan Pinkston, Elena Sanchez, Griffin Freeman, Mike C. Manning","A group of young men dare a classmate to reach the porch of a legendary old house, said to be haunted by the thirteen victims of a family massacre. In hopes of making a viral video they arm...","English","USA","N/A","http://ia.media-imdb.com/images/M/MV5BZGIwNjdkNjMtMGQ0OC00YjU5LTk5OTktOGFjZDUzZjFiMDEzXkEyXkFqcGdeQXVyMTQ1ODUwOA@@._V1_SX300.jpg","N/A","N/A","N/A","tt3131050","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","69","http://www.rottentomatoes.com/m/delirium_2016/","N/A","N/A","N/A","N/A","True"
"4533","Complete Unknown","2016","R","26 Aug 2016","91 min","Drama, Mystery","Joshua Marston","Joshua Marston, Julian Sheppard","Erin Darke, Rachel Weisz, Hansel Tan, FaTye","As a man contemplates moving to a new state with his wife for her graduate program, an old flame - a woman who often changes identities - reenters his life at a birthday dinner party.","Persian, English","USA","2 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyNzY0OTUyMl5BMl5BanBnXkFtZTgwMDM0NTk2OTE@._V1_SX300.jpg","58","5.5","2,059","tt4230700","movie","47","rotten","5.6","59","28","31","N/A","26","2.7","824","http://www.rottentomatoes.com/m/complete_unknown/","04 Oct 2016","$187,145.00","N/A","N/A","True"
"4534","Artifice: Loose Fellowship and Partners","2014","N/A","31 Oct 2014","90 min","Drama","Donovan C. Howard","Donovan C. Howard","Ohene Cornelius, Keke Libron, Marty Robinson, Mysonne Linen","Immersed in the sub-culture of Brooklyn, NY, a bargain between gangsters and hustlers playing the game of deceit.","English","USA","N/A","N/A","N/A","N/A","N/A","tt3827462","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4535","Slammed!","2015","N/A","N/A","N/A","Action","Trudy Sargent","Michael Phillips","Patricia De Leon, Jose Rosete, Kinyumba Mutakabbir, Esther Canata","N/A","English","USA","N/A","N/A","N/A","N/A","N/A","tt4859034","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4536","Certificate of Completion","2016","N/A","N/A","N/A","Drama","N/A","M.T. Arnold","Kera O'Bryon, Robert Shepherd, Doris Collier, M.T. Arnold","Two Law clerks, he and she, are working on an probate estate of a wealthy man who is believed to be have just disappeared years earlier, leaving no living heirs. A new partner offer awaits ...","N/A","USA","N/A","http://ia.media-imdb.com/images/M/MV5BYmRmYzU0YjUtMWI3OS00NWQwLTgwYjEtNDhmNWY1MDEzMGY3XkEyXkFqcGdeQXVyNDQ4OTA1OTg@._V1_SX300.jpg","N/A","N/A","N/A","tt4591044","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4537","My Wife Is a Superstar","2016","N/A","07 Apr 2016","99 min","Comedy","Shirley Yung","Cheuk-yin Chan","Pak-ho Chau, Annie Liu, Alex Tak-Shun Lam, Jacky Cai","The movie company owner Jeff has recruited a new actress Chu Kei as the leading actress of a major Chinese-New-Year-themed movie. Chu Kei soon becomes the attention of the public and all ...","Cantonese","Hong Kong","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMWFlMzQ0NDMtNmQ4ZS00NGZmLTljMjEtM2RkNTVhOTRlMzljXkEyXkFqcGdeQXVyMjExMzEyNTM@._V1_SX300.jpg","N/A","3.8","46","tt5769586","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4538","In the Last Days of the City","2016","N/A","26 Mar 2016","118 min","Drama","Tamer El Said","Tamer El Said, Rasha Salti","Khalid Abdalla, Laila Samy, Hanan Youssef, Mariam Saleh Saad","Downtown Cairo, 2009. Khalid, a 35 year old filmmaker is struggling to make a film that captures the soul of his city while facing loss in his own life. With the help of his friends, who ...","Arabic","Egypt, Germany, UK, United Arab Emirates","2 wins & 1 nomination.","http://ia.media-imdb.com/images/M/MV5BMTUyNTQ4NTE4NV5BMl5BanBnXkFtZTgwNDk1MjEwODE@._V1_SX300.jpg","N/A","8.0","31","tt5424898","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4539","Oflu Hoca'nin Sifresi 2","2016","N/A","13 May 2016","N/A","Comedy","Adem Kiliç","Ugur Kandemir Arpaci, Zeynep Kaya","Çetin Altay, Seymen Aydin, Mehtap Bayri, Nihan Büyükagaç","N/A","Turkish","Turkey","N/A","N/A","N/A","4.0","51","tt5671310","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4540","Perspective Chapter 2: The Misdemeanor","2016","N/A","21 Jan 2016","N/A","Drama","Rose Troche","Rose Troche","Johnathan Tchaikovsky, Javon Jones, Joey Auzenne, Ebrahim Jaffer","N/A","English","USA","N/A","N/A","N/A","N/A","N/A","tt5248690","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4541","Buurman & Buurman: Al 40 jaar beste vrienden!","2016","N/A","03 Feb 2016","56 min","Animation","Marek Benes","N/A","Kees Prins, Siem van Leeuwen","Every short surprise on a way only Buurman & Buurman can do.","Dutch","Czech Republic","N/A","http://ia.media-imdb.com/images/M/MV5BOTFlMzdhNTMtOTk1YS00YjZiLWI4YWEtMjIyYjNhZWM1ZmQ3XkEyXkFqcGdeQXVyNjI2Njg0MTM@._V1_SX300.jpg","N/A","7.1","15","tt5320892","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4542","Oopiri","2016","N/A","24 Mar 2016","158 min","Comedy, Drama","Vamsi Paidipally","Vamsi Paidipally (screenplay), Vamsi Paidipally (story adaptation), Abburi Ravi (dialogue)","Nagarjuna Akkineni, Karthi, Tamannaah Bhatia, Prakash Raj","A quadriplegic billionaire hires a young man to be his caregiver.","Telugu, Tamil","India","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMWVjZDIwN2EtNjVhZC00MmMxLTkzYmEtZTFhNzdkYzg0YmZkXkEyXkFqcGdeQXVyNTUzMTc1NjE@._V1_SX300.jpg","N/A","8.1","1,783","tt5039054","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","76","4.0","59","http://www.rottentomatoes.com/m/oopiri/","N/A","N/A","N/A","N/A","True"
"4543","1st Sem","2016","N/A","16 Mar 2016","N/A","Comedy","Dexter Hemedez, Allan Ibanez","Dexter Hemedez, Allan Ibanez","Lotlot De Leon, Darwin Yu, Miguel Bagtas, Sebastian Vargas Jr.","The love-hate relationship between mother and son intensifies when the latter decides not to pursue college education in Manila after suffering from separation anxiety.","Filipino, Tagalog","Philippines","N/A","http://ia.media-imdb.com/images/M/MV5BNzA2MTI4NmUtZjM3MS00NmM4LWIyYTMtNTk0MjI1MTFmZGUxXkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_SX300.jpg","N/A","N/A","N/A","tt5585374","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4544","Mother I Flew Away","2016","N/A","N/A","N/A","Drama, Mystery, Thriller","Pridhvi Sunain Zoro","Pridhvi Sunain Zoro","Ayanery Reyes, Pridhvi Sunain Zoro, Ioanna Kostopoulou","The happiness seems to be endless to newlywed couple, especially after the wife's pregnancy, but fate has its ways. Once the miscarriage enters their lives, it drags the wife into the ...","N/A","USA","N/A","N/A","N/A","N/A","N/A","tt4221892","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4545","Mystic Game","2016","N/A","N/A","90 min","Adventure, Comedy, Fantasy","Artyom Aksenenko","Oleg Sirotkin","Sergey Burunov, Svetlana Golovina, Ekaterina Kabak, Kirill Kozakov","A charming adventurer got dragged in the struggle of powerful wizards. To save himself and his beloved he is forced to find a way out of this mystic game.","Russian","Russia","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BZDk2NzU4N2EtYjY5ZS00YjhlLWJjMDQtYzgyOTBlNDg3ODQ1XkEyXkFqcGdeQXVyNjMzNjY2NjQ@._V1_SX300.jpg","N/A","7.4","10","tt5178170","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4546","Axilas","2016","N/A","05 May 2016","N/A","N/A","José Fonseca e Costa","Mário Botequilha (screenplay), José Fonseca e Costa (screenplay), Rubem Fonseca (inspired by an original story by)","Pedro Lacerda, Elisa Lisboa, Maria da Rocha, André Gomes","N/A","Portuguese","Portugal","N/A","http://ia.media-imdb.com/images/M/MV5BODU3MjVjM2YtNjk4Zi00YmVlLWIwMTEtYTg4YzI1ODcwMTU3XkEyXkFqcGdeQXVyNjg1NTY4MA@@._V1_SX300.jpg","N/A","6.7","37","tt4840098","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4547","The Lessee","2015","N/A","N/A","N/A","Drama, Romance","Teli Share","Teli Hsueh","Sarah Navratil, Olivia Rush, Cham, Mina Yang","In a series of life events, a group of young adults expressed their love, desires, and secrets in ways they didn't imagine they could.","English, Chinese","China, USA","N/A","http://ia.media-imdb.com/images/M/MV5BMTg0MDY5NDY3MV5BMl5BanBnXkFtZTgwNjY1MDIxMzE@._V1_SX300.jpg","N/A","N/A","N/A","tt4109998","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4548","Leste Oeste","2016","N/A","01 May 2016","86 min","Action, Adventure, Drama","Rodrigo Grota","Rodrigo Grota","Felipe Kannenberg, Simone Iliescu, Bruno Silva, José Maschio","Ezequiel, a former professional car racer, returns to his hometown after 15 years to compete in his last race. He finds Stela, an old affair; Angelo, the family patriarch, as well as Pedro, a 16 year-old boy who dreams of being a driver.","Portuguese","Brazil, Germany, Turkey","2 wins.","http://ia.media-imdb.com/images/M/MV5BZDhhZmNlMDItMWYxOC00ZDZkLTgwYmQtZGZjMTZkNDMwM2Y3XkEyXkFqcGdeQXVyMTM5OTUyNjY@._V1_SX300.jpg","N/A","N/A","N/A","tt4328186","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
